Player,Team,Games Played,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Timothe Luwawu-Cabarrot,Bro,58,18.1,37.7,17.4,10.3,43,0.814,117,0.47,239,0.314,0.471,0.493,6.4,2.2,6.8,1.2,8.5,0.57,0.1,0.74,5.7,99.7,108
Tyus Jones,Mem,70,17.5,36.4,16.6,10,45,0.911,273,0.487,140,0.321,0.485,0.511,6.3,2,6.1,3.7,28.6,0.9,0.09,0.69,8.2,114.7,112.8
Chimezie Metu,Sac,36,13.6,28.2,20,12.8,43,0.721,142,0.549,37,0.351,0.545,0.571,6.3,3.1,12.8,0.8,8.2,0.39,0.53,0.81,7.4,108.6,107.2
Deni Avdija,Was,54,23.3,48.5,12,9,45,0.644,144,0.535,168,0.315,0.502,0.515,6.3,4.8,11,1.2,6.3,0.59,0.28,0.61,5.7,102.6,103.8
Frank Mason,Orl,4,19.8,41.3,17.5,15.6,7,0.714,19,0.368,5,0.4,0.417,0.462,6.3,3,7.8,3,22.2,0,0,1.25,7.8,98.1,110.5
Robert Franks,Orl,7,14.4,30,15.3,5.6,13,0.923,13,0.615,15,0.333,0.554,0.638,6.1,2,7.2,0.7,7.5,0.43,0.43,0.29,5.7,133,110.4
Facundo Campazzo,Den,65,21.9,45.7,13.1,17.1,91,0.879,99,0.444,216,0.352,0.502,0.558,6.1,2.1,5.3,3.6,20.2,1.22,0.22,1.12,6.5,116.1,105.9
Max Strus,Mia,39,13,27.1,18.3,3.9,24,0.667,39,0.897,148,0.338,0.588,0.597,6.1,1.1,4.6,0.6,7.3,0.28,0.05,0.21,4.9,115.4,107.7
D.J. Augustin,Mil,37,19.3,40.1,14.3,14,40,0.9,63,0.349,129,0.38,0.497,0.542,6.1,1.4,3.7,3,18.6,0.54,0.03,0.92,6.1,114.8,112.5
Jaylen Hoard,Okc,19,16.8,35,16.3,13.8,41,0.683,77,0.571,11,0,0.5,0.547,6.1,3.4,10.6,1.3,11.2,0.68,0.26,0.89,7.1,108.8,110.4
Quinn Cook,Cle,7,13.6,28.4,21.6,8.5,3,1,29,0.379,13,0.462,0.476,0.496,6.1,1.7,7,1.9,22.1,0.43,0,0.57,7.9,104.9,109.7
Aron Baynes,Tor,53,18.5,38.5,16.2,12.5,41,0.707,200,0.535,103,0.262,0.487,0.505,6.1,5.2,15.3,0.9,7,0.3,0.43,0.87,6.6,103.8,103.3
D.J. Wilson,Hou,23,14.3,29.7,19.9,11.8,23,0.696,66,0.485,59,0.339,0.496,0.518,6.1,3.8,14.1,0.9,9.3,0.43,0.52,0.78,7.7,100.6,106.8
Dean Wade,Cle,63,19.2,40.1,12.9,8.4,39,0.769,98,0.571,213,0.366,0.556,0.573,6,3.4,9.9,1.2,8.9,0.54,0.33,0.48,6,115.5,111
Dakota Mathias,Phi,8,15.4,32.2,18,1.9,6,0.333,22,0.5,26,0.308,0.479,0.474,6,0.9,3.1,1.6,15,0.13,0.38,0.13,5.3,106.9,109.8
George Hill,Phi,16,18.9,39.5,15.2,17.8,25,0.76,54,0.463,23,0.391,0.5,0.545,6,2,5.8,1.9,13.3,0.69,0.19,1.19,6,104.4,106.6
Dwight Powell,Dal,58,16.6,34.7,13.2,13.9,124,0.782,173,0.665,21,0.238,0.631,0.688,5.9,4.1,13.5,1.1,8.9,0.6,0.52,0.69,7.2,135.6,99.8
Drew Eubanks,San,54,14,29.1,17.1,15.2,106,0.726,203,0.562,2,1,0.571,0.618,5.8,4.5,17,0.8,7.8,0.33,0.91,0.83,7.9,118.2,101.7
Mason Jones,Hou,26,11.8,24.6,23.1,16.8,57,0.614,50,0.48,64,0.359,0.513,0.546,5.8,2,8.8,1.5,19.1,0.23,0.04,1.08,8.8,100.7,111.6
Juan Toscano-Anderson,Gol,53,20.9,43.5,11,21.8,31,0.71,117,0.718,92,0.402,0.667,0.676,5.7,4.4,11.2,2.8,18.1,0.77,0.49,1.17,7.9,120.7,102.4
Rodney McGruder,Det,16,12.1,25.2,18.2,8.7,8,0.75,46,0.565,24,0.458,0.607,0.619,5.7,1.4,6.3,1,13.6,0.5,0.06,0.44,6.6,120.1,110.6
DeAndre' Bembry,Tor,51,19.1,39.7,14.6,21.6,66,0.682,175,0.589,53,0.264,0.544,0.57,5.7,2.9,8.3,2.1,15.5,1.04,0.35,1.39,6.8,104.1,106.8
James Johnson,Dal,29,17.4,36.2,16.2,14.6,29,0.586,85,0.612,60,0.25,0.514,0.526,5.7,3,9.4,1.7,13.7,0.83,0.79,0.93,7.1,104.1,102.1
Jordan Nwora,Mil,30,9.1,19,26,14.1,25,0.76,73,0.466,62,0.452,0.563,0.586,5.7,2,11.5,0.2,3.6,0.53,0.23,0.8,5.8,101.7,103.6
Donta Hall,Orl,13,13.8,28.7,14,13.8,34,0.676,35,0.714,0,0,0.714,0.731,5.6,4.8,17.9,0.8,9.4,0.38,0.77,0.62,8.1,140.6,104.7
Freddie Gillespie,Tor,20,19.6,40.8,12.2,10.9,33,0.697,84,0.524,0,0,0.524,0.563,5.6,4.9,13.6,0.5,3.2,0.65,1.05,0.6,4.9,119.5,105
Mychal Mulder,Gol,60,12.8,26.6,16.2,5.5,22,0.636,51,0.667,214,0.397,0.609,0.613,5.6,1,4.2,0.4,4.8,0.2,0.2,0.27,4.1,112.9,110.1
Saben Lee,Det,48,16.3,33.9,17,18.1,89,0.685,187,0.487,23,0.348,0.49,0.536,5.6,2,6.9,3.6,33.2,0.67,0.27,1.15,8.4,111.5,106
Tony Bradley,Phi,20,14.4,29.9,12.8,7,11,0.636,74,0.689,1,0,0.68,0.683,5.5,5.2,19.9,0.9,8.7,0.3,0.65,0.3,8.2,143.8,99.8
Garrison Mathews,Was,64,16.2,33.8,11.5,3.5,95,0.884,39,0.538,198,0.384,0.57,0.635,5.5,1.4,4.4,0.4,3.1,0.45,0.11,0.16,3.6,129.4,107.7
Troy Brown Jr.,Chi,13,18.2,37.9,11.5,8,6,0.833,31,0.677,24,0.333,0.6,0.616,5.5,3.4,10.3,0.8,5.6,0.54,0.15,0.38,5.4,122.1,106.6
Tyler Cook,Det,28,15,31.3,14.2,15.4,35,0.486,98,0.684,2,0.5,0.685,0.667,5.5,3.4,12.4,0.5,5.6,0.29,0.07,0.75,5.6,117.2,107.8
Devin Vassell,San,62,17,35.5,14.3,6.3,51,0.843,153,0.464,150,0.347,0.492,0.524,5.5,2.8,8.8,0.9,7.1,0.69,0.29,0.35,5.7,107.5,106.6
Anthony Lamb,Hou,24,17.3,36,15,13,21,0.857,47,0.489,71,0.324,0.487,0.523,5.5,2.9,9,1,7.8,0.25,0.21,0.79,5.8,104.9,112.1
JaVale McGee,Den,13,13.5,28.1,21.7,17.2,12,0.667,63,0.508,4,0,0.478,0.498,5.5,5.3,22.3,0.5,4.8,0.23,1.08,1.15,7.2,97.3,87.2
Al-Farouq Aminu,Orl,17,21.6,44.9,14.3,20.6,17,0.824,58,0.5,31,0.226,0.444,0.482,5.5,5.4,12.9,1.7,11.4,1,0.53,1.47,6.8,93,108.5
Damian Jones,Lal,8,14,29.1,10.6,18.3,12,0.917,17,0.941,0,0,0.941,0.965,5.4,3.3,13,0.1,1.3,0.13,0.88,0.63,3.5,157.6,90.2
Taj Gibson,Nyk,45,20.8,43.3,9.7,10.8,55,0.727,143,0.671,15,0.2,0.636,0.661,5.4,5.6,14.5,0.8,5.4,0.69,1.09,0.49,5.6,137.9,99.5
Derrick Favors,Uta,68,15.3,31.8,13,11.5,80,0.738,241,0.643,2,0,0.638,0.663,5.4,5.5,19.2,0.6,6,0.47,1,0.53,6.8,136.6,94.2
Jarred Vanderbilt,Min,64,17.8,37.1,12.3,15.9,102,0.559,231,0.615,5,0.2,0.608,0.612,5.4,5.8,17.5,1.2,9.3,1,0.73,0.83,7.5,120.6,104
Jahlil Okafor,Det,27,12.9,26.8,16.7,15.8,24,0.708,92,0.663,9,0.222,0.634,0.65,5.4,2.4,10.4,0.5,6.1,0.22,0.19,0.78,5.8,113.7,105.2
Tyler Johnson,Bro,39,17.5,36.5,13.4,8.1,21,0.857,51,0.471,132,0.364,0.525,0.546,5.4,2,6.2,1.2,8.7,0.36,0,0.44,5.4,110.6,111.9
Josh Okogie,Min,59,20.3,42.3,12.1,12.5,108,0.769,146,0.5,108,0.269,0.459,0.524,5.4,2.6,7.1,1.1,7,0.92,0.47,0.73,4.9,108.4,109
Justin Patton,Hou,13,19,39.5,13.1,5.3,4,0.75,36,0.556,34,0.265,0.479,0.488,5.4,3.8,10.6,1.1,8.1,0.92,1.08,0.31,5.9,108,102.8
Tony Snell,Atl,47,21.1,44,8.6,10.7,11,1,62,0.419,109,0.569,0.696,0.708,5.3,2.4,6.2,1.3,7.9,0.28,0.23,0.45,4.8,134.7,110.2
Willie Cauley-Stein,Dal,53,17.1,35.6,12,11.8,78,0.628,171,0.667,11,0.091,0.635,0.647,5.3,4.5,14.4,0.7,5.3,0.4,0.81,0.55,6,128,99.5
Gorgui Dieng,San,16,11.3,23.6,18.1,13.2,24,0.833,33,0.667,22,0.318,0.591,0.648,5.3,2.6,12.3,1.2,14.9,0.56,0.13,0.63,9,125.2,103.7
Khem Birch,Orl,48,19.8,41.3,12.2,8.5,85,0.741,188,0.479,21,0.19,0.459,0.517,5.3,5.1,13.2,1.1,8,0.67,0.58,0.48,6.3,119.5,109.8
Glenn Robinson III,Sac,23,16.1,33.5,14,9.2,23,0.913,55,0.473,44,0.364,0.505,0.554,5.3,2,6.8,0.9,7,0.17,0.13,0.48,5.3,112.1,116.8
Jarrett Culver,Min,34,14.7,30.6,18.2,12.9,48,0.604,115,0.487,53,0.245,0.449,0.476,5.3,3.1,11.3,0.7,6.8,0.5,0.26,0.82,6.1,95.3,106.6
Alize Johnson,Bro,18,10.5,21.8,19.1,10.9,13,1,62,0.629,6,0.167,0.596,0.638,5.2,5,26.3,0.8,10.9,0.28,0.28,0.5,10.5,131.1,102.6
Patrick Patterson,Lac,38,15.3,31.9,14,6,17,0.765,53,0.604,112,0.357,0.558,0.571,5.2,2,7.3,0.8,6.7,0.37,0.21,0.29,5.3,118.5,107.7
Dylan Windler,Cle,31,16.5,34.5,14.9,18.3,27,0.778,53,0.585,78,0.333,0.534,0.563,5.2,3.5,11.6,1.1,9.4,0.61,0.39,1.03,6.6,102,108.9
Chandler Hutchison,Was,18,15.7,32.7,16.1,13.6,23,0.826,66,0.409,19,0.368,0.441,0.494,5.2,3.2,10.9,0.7,6,0.61,0.28,0.83,5.8,93.2,105.8
Avery Bradley,Hou,17,23,47.9,13.8,15,6,0.833,42,0.381,63,0.27,0.395,0.409,5.2,2.3,5.3,1.9,11.2,0.82,0.18,1.12,4.9,83.7,112.1
Nerlens Noel,Nyk,64,24.2,50.3,9.2,20.3,70,0.714,221,0.62,3,0,0.612,0.636,5.1,6.4,14.3,0.7,4.1,1.09,2.2,1.02,4.7,120.3,97.3
Goga Bitadze,Ind,45,12.5,26,18,7.1,61,0.738,115,0.548,79,0.253,0.479,0.523,5.1,3.3,14.5,0.8,8.9,0.2,1.33,0.38,7.6,115.3,99.4
Jake Layman,Min,45,13.9,29,15.1,11.5,37,0.703,106,0.642,78,0.295,0.557,0.577,5.1,1.5,5.8,0.6,6.4,0.64,0.42,0.58,4.8,107,112.2
Sekou Doumbouya,Det,56,15.5,32.3,17.8,12.4,64,0.703,167,0.485,115,0.226,0.426,0.459,5.1,2.6,9.2,0.8,8,0.43,0.16,0.79,5.7,92.5,105.1
Nemanja Bjelica,Mia,11,14.2,29.6,15.9,9.1,9,0.556,19,0.526,27,0.37,0.543,0.55,5,2.5,9.9,1.8,18.7,0.64,0.27,0.45,8,116,99.2
Trey Lyles,San,23,15.6,32.4,12.9,5.7,23,0.652,50,0.58,40,0.35,0.556,0.574,5,3.7,12.8,0.6,5.3,0.26,0.04,0.26,5.7,115.5,111.2
Marc Gasol,Lal,52,19.1,39.8,11.8,19.7,50,0.72,72,0.528,122,0.41,0.582,0.606,5,4.1,12.1,2.1,14.6,0.5,1.12,1.02,7.3,114.5,97.4
Bismack Biyombo,Cha,66,20.4,42.6,11.5,19.8,105,0.448,241,0.589,1,0,0.587,0.574,5,5.3,13.9,1.2,8.3,0.26,1.12,1.08,6.2,111.5,105.6
Jordan McLaughlin,Min,51,18.4,38.3,13.7,16.7,30,0.767,150,0.447,92,0.359,0.481,0.502,5,2.1,6.2,3.8,28,1,0.12,1,7.4,110,114.1
Precious Achiuwa,Mia,61,12.1,25.2,19.5,13.5,110,0.509,227,0.546,1,0,0.544,0.55,5,3.4,16.1,0.5,6.1,0.33,0.46,0.7,6.7,106.8,99.7
Caleb Martin,Cha,53,15.4,32.2,16.7,10.4,64,0.641,131,0.496,125,0.248,0.436,0.465,5,2.7,9.3,1.3,11.5,0.7,0.23,0.62,6.7,98.6,107.6
DaQuan Jeffries,Hou,13,20.1,41.8,11.3,8.6,1,1,24,0.625,39,0.282,0.5,0.504,4.9,3.2,8.6,1.2,8.6,0.62,0.46,0.46,5.3,106.5,109
E'Twaun Moore,Pho,27,14.4,30,17.2,15.3,14,0.857,86,0.512,35,0.314,0.5,0.523,4.9,1.7,6.6,1.5,13.7,0.56,0.19,0.85,6.4,102.9,107
Brandon Goodwin,Atl,47,13.2,27.5,19.5,13,43,0.651,120,0.433,103,0.311,0.448,0.471,4.9,1.5,6.1,2,21.7,0.36,0,0.77,7.4,100.2,110.2
Jerome Robinson,Was,17,17.9,37.4,16.7,15.5,20,0.8,53,0.321,42,0.262,0.353,0.4,4.9,2.2,6.6,1.5,10.2,0.71,0.35,1.12,5.7,80.3,106
Langston Galloway,Pho,40,10.9,22.8,17.3,7.6,23,0.957,62,0.484,85,0.424,0.571,0.605,4.8,1.1,5.4,0.7,8,0.2,0,0.33,5.7,117.4,111.3
Wesley Matthews,Lal,58,19.5,40.6,11.4,8.8,41,0.854,55,0.418,197,0.335,0.484,0.517,4.8,1.6,4.7,0.9,6.3,0.64,0.28,0.45,3.9,105.9,104.7
Gabe Vincent,Mia,50,13.1,27.3,19.1,12.3,23,0.87,84,0.5,149,0.309,0.476,0.498,4.8,1.1,4.9,1.3,15.1,0.42,0.04,0.68,5.8,97.8,103
Daniel Gafford,Chi,31,12.4,25.8,14.4,17.3,41,0.659,87,0.69,0,0,0.69,0.7,4.7,3.3,14.9,0.5,6.2,0.35,1.1,0.71,6.4,127.2,99.9
Boban Marjanovic,Dal,33,8.2,17.1,24.6,8,38,0.816,114,0.535,8,0.125,0.512,0.562,4.7,3.9,26,0.3,5.9,0.06,0.18,0.36,8.6,120.7,101.5
Aaron Nesmith,Bos,46,14.5,30.3,13.7,10.8,28,0.786,70,0.543,108,0.37,0.551,0.573,4.7,2.8,10.6,0.5,4.6,0.33,0.2,0.5,5.2,112.3,102.6
Grant Williams,Bos,63,18.1,37.6,12.3,17.2,51,0.588,118,0.508,129,0.372,0.534,0.546,4.7,2.8,8.7,1,7.4,0.51,0.37,0.89,5.2,104,101.9
Brad Wanamaker,Gol,39,16,33.4,16,15.8,56,0.893,112,0.429,61,0.213,0.39,0.468,4.7,1.7,5.6,2.5,20.8,0.67,0.15,0.95,6.8,99.5,106.2
Rodney Hood,Por,38,19.1,39.8,14.1,13.1,12,0.75,117,0.41,84,0.298,0.425,0.436,4.7,1.9,5.4,1.2,8.5,0.53,0.11,0.82,4.6,91.1,112.5
Onyeka Okongwu,Atl,50,12,25.1,14.7,14.3,57,0.632,146,0.658,3,0,0.644,0.655,4.6,3.3,14.8,0.4,4.4,0.46,0.66,0.58,6.1,123.6,96.7
Yogi Ferrell,Lac,8,12.1,25.1,17.9,0,7,1,17,0.353,19,0.316,0.417,0.473,4.6,1.5,7,2.1,23.6,0.5,0.25,0,8.1,121.7,106.8
Nassir Little,Por,48,13.3,27.8,13.8,8.8,45,0.8,87,0.575,80,0.35,0.551,0.589,4.6,2.7,10.7,0.5,4.9,0.1,0.27,0.38,5.5,120.1,111.9
Semi Ojeleye,Bos,56,17,35.3,11.6,8.2,32,0.75,63,0.492,158,0.367,0.534,0.553,4.6,2.6,8.6,0.7,5.1,0.3,0,0.38,4.8,113.9,111.8
JaKarr Sampson,Ind,29,10.9,22.7,18.9,10.7,29,0.655,98,0.541,15,0.2,0.509,0.533,4.6,2.7,13.2,0.1,1.8,0.07,0.48,0.52,3.9,103.7,100.5
Kelan Martin,Ind,35,9.2,19.2,20.9,10.1,10,0.9,78,0.487,60,0.4,0.536,0.551,4.5,2.2,13.1,0.5,7.5,0.29,0.29,0.46,7.4,105.2,104.3
Yuta Watanabe,Tor,50,14.5,30.1,12.7,9,29,0.828,90,0.478,90,0.4,0.539,0.565,4.4,3.2,12,0.8,7.7,0.52,0.4,0.38,6.2,116.4,107.6
Luke Kornet,Bos,18,14.1,29.4,13.7,7.4,2,0.5,38,0.684,36,0.25,0.534,0.534,4.4,2.9,11.4,1.1,10.9,0.11,1.39,0.33,6.8,116,109.5
Solomon Hill,Atl,71,21.3,44.4,10.3,11.7,46,0.761,85,0.447,212,0.321,0.471,0.496,4.4,3,7.7,1.1,6.4,0.7,0.15,0.59,4.6,103.5,108.3
Andre Iguodala,Mia,63,21.3,44.3,11.2,20.2,38,0.658,66,0.53,182,0.33,0.504,0.519,4.4,3.5,9.4,2.3,14.3,0.92,0.52,1.06,6.2,102.6,106.4
Stanley Johnson,Tor,61,16.5,34.3,13.4,17.4,55,0.8,96,0.458,137,0.328,0.479,0.519,4.4,2.5,8.4,1.5,12,0.85,0.31,0.89,6.2,101.5,103.8
P.J. Tucker,Hou,32,30,62.4,7.7,19,23,0.783,45,0.467,86,0.314,0.469,0.5,4.4,4.6,8.2,1.4,6.1,0.88,0.56,1.03,4.1,99,109.3
JJ Redick,Dal,13,11.3,23.5,19.9,16.6,5,0.8,15,0.267,38,0.395,0.5,0.516,4.4,0.9,4.5,0.8,10.3,0.15,0.08,0.85,5.2,93.2,109.6
Charlie Brown Jr.,Okc,9,16.9,35.1,14.9,11.2,10,0.9,22,0.364,21,0.238,0.36,0.422,4.4,1.9,5.8,1,8.2,0.44,0.22,0.67,4.8,88.4,105.5
John Konchar,Mem,43,13.4,27.9,12.4,10.6,30,0.833,82,0.585,56,0.375,0.576,0.608,4.3,3,11.8,1.1,10.7,0.7,0.21,0.42,7.2,124.5,106.1
Mfiondu Kabengele,Cle,16,11.6,24.2,16.9,12.5,14,0.786,25,0.6,32,0.281,0.5,0.538,4.3,2.9,13.8,0.8,9.6,0.38,0.63,0.56,7.4,107,105.9
Devin Cannady,Orl,8,9.3,19.3,19.2,6,7,0.857,12,0.417,16,0.375,0.5,0.547,4.3,0.6,3.5,0.1,2.1,0.63,0.13,0.25,2.7,105.2,103.8
Troy Brown Jr.,Was,21,13.7,28.5,16.1,14.3,15,0.667,43,0.442,46,0.304,0.449,0.471,4.3,2.9,11.3,0.9,8.5,0.14,0.19,0.76,6.5,92.5,106.1
Javonte Green,Bos,25,13.8,28.8,12.1,13.4,30,0.667,49,0.653,22,0.318,0.599,0.624,4.2,2.1,8.4,0.4,4.3,0.72,0.08,0.52,4.4,119.4,106.5
Mike Scott,Phi,51,16.7,34.8,11.9,8.1,12,0.667,56,0.411,155,0.342,0.486,0.492,4.2,2.4,7.8,0.8,6.1,0.47,0.27,0.37,4.8,101,103.5
Kevon Looney,Gol,61,19,39.6,9.4,14.5,48,0.646,180,0.578,17,0.235,0.558,0.575,4.1,5.3,14.7,1.9,13.3,0.36,0.36,0.61,7.3,129.7,101.9
Darius Miller,Okc,18,10.9,22.8,13.2,13.1,12,1,6,0.833,42,0.405,0.635,0.685,4.1,1.3,6.3,1.2,15.4,0.67,0.28,0.44,6.8,129.6,109.1
Paul Watson,Tor,27,11,22.9,13.8,9.5,8,0.625,18,0.444,64,0.469,0.646,0.649,4.1,1.7,8.3,0.6,8.2,0.19,0.11,0.33,5.9,120.3,104.9
Jevon Carter,Pho,60,11.9,24.9,15,6.6,7,0.571,72,0.528,151,0.371,0.547,0.548,4.1,1.5,7.3,1.2,13,0.48,0.15,0.27,6.5,115.1,106.7
Obi Toppin,Nyk,62,11,23,15.9,9.4,26,0.731,124,0.629,85,0.306,0.56,0.574,4.1,2.2,11,0.5,6.4,0.27,0.24,0.37,6,111.9,102.9
Lamar Stevens,Cle,40,12.5,26,15.9,12.7,51,0.725,111,0.523,25,0.16,0.471,0.521,4.1,2.4,10.7,0.6,7.5,0.43,0.33,0.58,5.8,103,106
Nico Mannion,Gol,30,12.1,25.3,18.5,20.3,28,0.821,53,0.321,60,0.367,0.442,0.491,4.1,1.5,6.7,2.3,25.6,0.53,0.03,1.07,8,98.2,106.5
Brodric Thomas,Cle,28,13.4,27.9,15.8,13.2,39,0.667,48,0.458,53,0.283,0.441,0.487,4.1,1.8,7.3,0.9,9.9,0.5,0.32,0.64,5.6,96.5,108.1
Josh Hall,Okc,21,16,33.3,18.1,17.4,44,0.5,62,0.419,37,0.108,0.323,0.363,4.1,2.8,9.1,1.3,11.6,0.19,0.05,1.19,6.2,73.3,106.3
Nicolo Melli,Dal,23,14.1,29.4,12.9,5.3,18,0.722,34,0.441,48,0.333,0.476,0.506,4,2.8,11,0.8,7.7,0.26,0.13,0.22,5.9,114.9,106.8
Jordan Bone,Orl,14,14,29.2,12.6,5.3,0,0,22,0.591,32,0.313,0.519,0.519,4,1.7,6.4,1.3,13.6,0.14,0,0.21,5.9,112.6,113.7
Carsen Edwards,Bos,31,8.9,18.5,19.3,5.7,13,0.846,48,0.604,63,0.286,0.505,0.527,4,0.8,5.3,0.5,7.4,0.23,0.03,0.23,5.3,107.5,108.8
Chris Chiozza,Bro,22,10.6,22,20.9,14.4,17,0.765,46,0.391,42,0.31,0.426,0.461,4,1.1,5.7,3,36.9,0.32,0.27,0.73,8.9,107.2,109.6
Cody Martin,Cha,52,16.3,34,12.5,16.2,43,0.581,130,0.515,58,0.276,0.484,0.5,4,3.1,10.3,1.7,13.9,0.73,0.23,0.77,6.8,106,109.4
Udonis Haslem,Mia,1,2.7,5.6,33.4,0,0,0,2,1,0,0,1,1,4,1,21.2,0,0,0,0,0,0,,
Justin James,Sac,36,8.6,18,19.7,10.6,36,0.583,73,0.521,38,0.368,0.532,0.548,3.9,0.8,5.4,0.6,9.9,0.22,0.08,0.42,5.7,106.1,115.3
Kevin Knox II,Nyk,42,11.1,23,16.2,10.1,20,0.8,54,0.389,89,0.393,0.514,0.537,3.9,1.5,7.1,0.5,5.9,0.29,0.14,0.4,5.2,104.2,104.6
Matisse Thybulle,Phi,65,20,41.6,9.4,11.3,18,0.444,100,0.59,143,0.301,0.508,0.508,3.9,1.9,5.3,1,6.3,1.62,1.09,0.49,3.9,103.6,100.2
Rodney Hood,Tor,17,12.7,26.5,14.2,7,16,0.938,30,0.4,29,0.31,0.432,0.5,3.9,1.8,7.6,0.4,3.8,0.24,0.18,0.29,4.4,102.8,111.5
Rajon Rondo,Atl,27,14.9,31,16.2,26,2,0.5,65,0.415,45,0.378,0.477,0.478,3.9,2,7.5,3.5,32.2,0.7,0.07,1.44,8.1,97.5,108.6
Thon Maker,Cle,8,9.6,19.9,14.7,11.6,11,0.909,16,0.625,2,0,0.556,0.657,3.8,2.3,13.1,0.5,7.8,0.25,0.5,0.38,6.8,132.1,108.4
Skylar Mays,Atl,33,8.2,17,19.1,7.6,25,0.88,58,0.517,40,0.35,0.52,0.569,3.8,1.1,7.1,0.9,16.4,0.42,0.06,0.27,7.6,120.8,110
Ersan Ilyasova,Uta,17,8.7,18.1,18.8,12.5,5,1,13,0.231,41,0.439,0.556,0.578,3.8,1.7,10.4,0.2,3.8,0.59,0.18,0.47,5,108.2,87.8
Tremont Waters,Bos,26,9.1,19,21.5,22.8,17,0.941,46,0.413,38,0.395,0.494,0.541,3.8,0.8,4.9,2.4,36.4,0.58,0.04,1.04,8.5,107.7,108.9
Nathan Knight,Atl,33,8.4,17.6,21.6,10.9,55,0.8,66,0.47,33,0.182,0.404,0.503,3.8,2.2,14.1,0.2,4,0.27,0.3,0.45,5.7,106,106.8
Dante Exum,Cle,6,19.4,40.3,12.7,20.7,2,0.5,15,0.533,11,0.182,0.423,0.428,3.8,2.8,8.2,2.2,15.7,0.67,0.33,1.17,5.9,86.4,109.6
Isaiah Joe,Phi,41,9.3,19.5,17.4,7.1,24,0.75,27,0.333,106,0.368,0.508,0.533,3.7,0.9,5.2,0.5,7.2,0.29,0.1,0.27,5.1,107.7,104.2
Luka Samanic,San,33,9.3,19.5,19.4,14.5,29,0.552,62,0.565,43,0.279,0.505,0.518,3.7,2.1,11.7,0.5,6.9,0.24,0.24,0.61,6.8,96.4,100.6
Matt Thomas,Uta,19,7.1,14.7,24.4,10.5,7,0.857,26,0.615,39,0.256,0.477,0.499,3.6,1.2,9.1,0.5,11.2,0.11,0,0.42,7.3,99.8,106
D.J. Wilson,Mil,12,8.7,18.2,19.2,8.4,2,0.5,15,0.4,28,0.357,0.488,0.49,3.6,2.1,12.6,0.3,3.7,0.08,0.33,0.33,6,96.2,101.4
Isaiah Hartenstein,Den,30,9.1,18.9,18.7,18,36,0.611,80,0.513,0,0,0.513,0.543,3.5,2.8,17.7,0.5,7.4,0.37,0.67,0.7,7.5,108.6,90.1
DaQuan Jeffries,Sac,18,12.9,26.8,12.6,11.8,7,0.857,29,0.517,28,0.321,0.5,0.524,3.5,1.6,6.9,0.3,3.3,0.39,0.22,0.44,3.7,101.8,111.8
Paul Reed,Phi,26,6.8,14.2,22.7,12.8,8,0.5,72,0.583,6,0,0.538,0.54,3.4,2.3,18.9,0.5,10.9,0.38,0.5,0.46,9.3,110.7,91.8
Sindarius Thornwell,Orl,7,20.5,42.7,9.2,9.8,6,0.667,11,0.364,14,0.286,0.4,0.434,3.4,1.9,4.7,2.4,16,1,0.14,0.43,4.9,104.3,108.9
Wenyen Gabriel,Nor,21,11.5,23.9,14.4,18.2,17,0.647,28,0.393,32,0.406,0.508,0.533,3.4,2.6,12.2,0.5,5.9,0.43,0.38,0.71,5.7,102.6,101.9
Gary Clark,Orl,35,18.2,37.9,10.3,11.2,10,0.8,23,0.391,108,0.287,0.424,0.439,3.4,3.2,9.1,0.9,6.4,0.34,0.2,0.49,4.7,96.9,112.9
Zeke Nnaji,Den,41,9.5,19.8,12.8,6.1,15,0.8,44,0.591,57,0.421,0.614,0.632,3.3,1.6,9.3,0.2,3,0.17,0.1,0.17,4.3,125,109.9
Meyers Leonard,Mia,3,9.8,20.4,15.2,20.2,2,0.5,0,0,7,0.429,0.643,0.635,3.3,2.3,13.6,0.7,9.6,0,0,0.67,7.1,101.3,94.6
Shaquille Harrison,Den,17,16.3,33.9,11.2,8.4,16,0.813,44,0.386,14,0.214,0.371,0.431,3.3,2.3,8,0.9,7.1,0.88,0.29,0.35,4.7,96.7,102.9
Amir Coffey,Lac,44,9,18.7,15.1,11.1,38,0.711,47,0.468,56,0.411,0.549,0.585,3.2,1,6.3,0.5,7.4,0.23,0,0.34,5.2,114.5,108
Killian Tillie,Mem,18,10.1,21,14.8,3.1,11,0.818,24,0.375,33,0.303,0.421,0.461,3.2,1.3,7,0.4,5.6,0.28,0.44,0.11,4.7,103.4,104.9
Alfonzo McKinnie,Lal,39,6.6,13.8,17.9,4.7,18,0.556,54,0.593,39,0.41,0.602,0.604,3.1,1.4,11.7,0.2,3.6,0.18,0,0.13,5.8,122.4,100.4
Anthony Gill,Was,26,8.4,17.5,14.2,10.7,16,0.813,36,0.639,24,0.292,0.558,0.597,3.1,2,12.4,0.4,6.7,0.38,0.15,0.31,6.4,119.2,102
