Player,Team,Games Played,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Will Barton,Den,56,31,64.6,19,12.7,121,0.785,351,0.459,257,0.381,0.507,0.538,12.7,4,7.4,3.2,14.1,0.89,0.41,1.71,7,106.8,111.4
Jalen Brunson,Dal,68,25,52,20.2,10.3,151,0.795,427,0.578,200,0.405,0.588,0.618,12.6,3.4,7.5,3.5,21.3,0.51,0.01,1.18,8.5,123,110.7
Myles Turner,Ind,47,31,64.5,16.4,11.9,142,0.782,226,0.606,206,0.335,0.557,0.599,12.6,6.5,11.4,1,4.4,0.85,3.38,1.43,5.6,111.4,104.4
Seth Curry,Phi,57,28.7,59.9,17.1,10,77,0.896,272,0.485,280,0.45,0.582,0.607,12.5,2.4,4.6,2.7,13.6,0.77,0.14,1.14,6,117.7,107.7
Kyle Anderson,Mem,69,27.4,57,18.5,10.4,184,0.783,397,0.539,261,0.36,0.54,0.578,12.4,5.7,11.1,3.6,18.3,1.22,0.83,1.25,9.3,117.2,106.7
Brook Lopez,Mil,70,27.2,56.6,16.9,8.3,142,0.845,359,0.632,281,0.338,0.577,0.611,12.3,5,9.6,0.7,3.5,0.57,1.47,0.91,5.2,120.2,107.6
Blake Griffin,Det,20,31.3,65.2,19.6,11.4,62,0.71,98,0.429,124,0.315,0.453,0.491,12.3,5.2,9.2,3.9,18.4,0.7,0.1,1.6,8,100.9,109
Saddiq Bey,Det,70,27.3,56.8,18.7,7.3,147,0.844,232,0.448,460,0.38,0.53,0.566,12.2,4.6,9.3,1.4,7.6,0.74,0.2,0.86,6.3,111.5,110
Eric Bledsoe,Nor,71,29.7,62,18.5,12.1,195,0.687,376,0.495,355,0.341,0.503,0.532,12.2,3.4,6.3,3.8,17.3,0.77,0.34,1.58,7.3,107.8,112.2
Kevin Love,Cle,25,24.9,51.9,21.9,12.2,51,0.824,96,0.479,156,0.365,0.522,0.556,12.2,7.4,16.7,2.5,16,0.64,0.08,1.52,9.8,107.4,110.2
Joe Ingles,Uta,67,27.9,58,16.6,16.3,90,0.844,156,0.59,406,0.451,0.652,0.672,12.1,3.6,6.9,4.7,24,0.67,0.18,1.75,8.4,128.2,105.6
Thaddeus Young,Chi,68,24.3,50.6,22.3,16,113,0.628,618,0.579,45,0.267,0.567,0.577,12.1,6.2,14.1,4.3,27.1,1.09,0.59,2,11.3,115.3,104.5
Josh Richardson,Dal,59,30.3,63.2,18.4,10.6,108,0.917,351,0.501,267,0.33,0.498,0.537,12.1,3.3,6,2.6,12.1,1.03,0.41,1.34,6.2,108.6,109.9
Lou Williams,Lac,42,21.9,45.5,26.5,12,119,0.866,311,0.437,119,0.378,0.473,0.529,12.1,2.1,5.4,3.4,23.3,0.93,0.1,1.57,8.1,107.9,110.5
Cory Joseph,Det,19,26.4,55,19.8,14.9,41,0.878,138,0.543,38,0.368,0.545,0.588,12,3.2,6.6,5.5,33.7,1.21,0.47,1.79,9,117.5,107.4
Jordan Poole,Gol,51,19.4,40.4,25,8.8,119,0.882,198,0.545,276,0.351,0.535,0.581,12,1.8,5,1.9,15.4,0.51,0.18,1,7.1,111.2,107.7
Victor Oladipo,Mia,4,27.8,57.9,26.3,21.6,18,0.667,26,0.462,17,0.235,0.419,0.471,12,3.5,7.2,3.5,18.8,1.75,0.5,3.5,7.6,85.9,100.5
Khem Birch,Tor,19,30.4,63.3,15.8,9.9,44,0.636,140,0.614,31,0.29,0.582,0.596,11.9,7.5,13.6,1.9,9.4,0.89,1.16,1.11,7.3,122.4,108.5
Kevin Huerter,Atl,69,30.8,64.2,17.2,9.4,64,0.781,345,0.51,386,0.363,0.528,0.541,11.9,3.3,5.9,3.5,16.3,1.19,0.26,1.14,6.7,112.1,108.5
Andre Drummond,Lal,21,24.8,51.6,22.5,16,76,0.605,192,0.531,0,0,0.531,0.554,11.9,10.2,23.1,1.4,9,1.1,0.95,2.05,8.9,106.1,89.5
Hamidou Diallo,Okc,32,23.8,49.5,22.5,12.1,132,0.629,256,0.512,41,0.293,0.502,0.536,11.9,5.2,11.3,2.4,16.4,0.97,0.38,1.53,8.9,105.8,104.3
George Hill,Okc,14,26.3,54.9,16.5,8.4,25,0.84,63,0.619,57,0.386,0.6,0.63,11.8,2.1,4.1,3.1,18.2,0.86,0.14,0.86,6.5,126.6,116
Wendell Carter Jr.,Orl,22,26.5,55.3,19.5,11,68,0.721,176,0.534,29,0.241,0.51,0.549,11.7,8.8,17.2,1.6,9.7,0.77,0.82,1.32,8.3,111.8,106
Malik Monk,Cha,42,20.9,43.6,23.8,11.3,72,0.819,187,0.471,212,0.401,0.54,0.569,11.7,2.4,6.2,2.1,15.7,0.45,0.1,1.31,7.4,107.6,112.5
Davis Bertans,Was,57,25.7,53.5,15.9,5.9,115,0.87,50,0.48,428,0.395,0.581,0.62,11.5,3,6.1,0.9,4.4,0.58,0.23,0.58,4.9,119.8,108.1
Jusuf Nurkic,Por,37,23.8,49.6,22.3,16,113,0.619,303,0.525,30,0.4,0.532,0.554,11.5,9,20.2,3.4,21.4,1.03,1.08,1.97,11.9,112.7,101.8
James Wiseman,Gol,39,21.4,44.7,23.8,12.9,86,0.628,330,0.542,38,0.316,0.535,0.552,11.5,5.8,14.4,0.7,4.9,0.28,0.92,1.54,6.7,99.5,98.3
Bobby Portis,Mil,66,20.8,43.3,21,8.1,73,0.74,442,0.541,157,0.471,0.584,0.597,11.4,7.1,17.9,1.1,7.4,0.79,0.39,0.85,8.6,120,103
Immanuel Quickley,Nyk,64,19.4,40.5,25.6,8.1,174,0.891,277,0.401,303,0.389,0.497,0.557,11.4,2.1,6,2,16.2,0.47,0.19,0.91,7.5,113.4,103.9
Rudy Gay,San,63,21.5,44.9,23.6,8.8,102,0.804,350,0.451,278,0.381,0.505,0.532,11.4,4.8,11.9,1.4,9.7,0.73,0.63,1.03,7.9,103,105.5
Jae'Sean Tate,Hou,70,29.2,60.8,16.4,12.5,147,0.694,431,0.594,195,0.308,0.553,0.575,11.3,5.3,9.8,2.5,13.2,1.21,0.51,1.41,7.3,113.9,107.1
Jarrett Allen,Bro,12,26.6,55.5,15.5,19.3,61,0.754,65,0.677,0,0,0.677,0.73,11.2,10.4,21.6,1.7,8.3,0.58,1.58,1.83,8.8,134.4,106.6
Enes Kanter,Por,72,24.4,50.8,17.4,11,164,0.774,557,0.607,4,0.25,0.605,0.636,11.2,11,24.2,1.2,7.2,0.46,0.67,1.08,8.7,132.3,105.5
Naz Reid,Min,70,19.2,40.1,22.5,9.5,166,0.693,407,0.597,174,0.351,0.576,0.599,11.2,4.6,12.9,1,8.7,0.49,1.07,0.99,7.8,114.3,104.2
Armoni Brooks,Hou,20,26,54.2,17.9,10,12,0.583,35,0.514,157,0.382,0.563,0.565,11.2,3.4,7,1.5,8.6,0.6,0.25,1.1,5.9,105.1,113.1
Hamidou Diallo,Det,20,23.3,48.5,21.6,11.7,68,0.662,132,0.492,41,0.39,0.514,0.549,11.2,5.4,12.8,1.2,8.3,0.5,0.6,1.35,7.2,104.5,103.6
